date,BTC_RTN,BTC_RTN_LG1,BTC_RTN_LG2,DASH_RTN,DASH_RTN_LG1,DASH_RTN_LG2,ETH_RTN,ETH_RTN_LG1,ETH_RTN_LG2,LTC_RTN,LTC_RTN_LG1,LTC_RTN_LG2,XMR_RTN,XMR_RTN_LG1,XMR_RTN_LG2,XRP_RTN,XRP_RTN_LG1,XRP_RTN_LG2
9/4/2015,-0.013733603,0.009159107,-0.005085043,0.008097166,0.015936255,0.011811024,-0.007936508,0.023255814,0.044444444,-0.02661597,0.060714286,0.007092199,-0.018689717,0.01878513,-0.020862912,0.010227426,0.034935065,0.014715291
9/5/2015,-0.020495007,-0.013733603,0.009159107,-0.024489796,0.008097166,0.015936255,-0.05511811,-0.007936508,0.023255814,-0.081481481,-0.02661597,0.060714286,-0.029324134,-0.018689717,0.01878513,-0.068660775,0.010227426,0.034935065
9/6/2015,-0.020508893,-0.020495007,-0.013733603,0.007968127,-0.024489796,0.008097166,0.029850746,-0.05511811,-0.007936508,-0.044520548,-0.081481481,-0.02661597,-0.048831588,-0.029324134,-0.018689717,-0.00394402,-0.068660775,0.010227426
9/7/2015,-4.17E-05,-0.020508893,-0.020495007,0.044176707,0.007968127,-0.024489796,0.038461538,0.029850746,-0.05511811,0,-0.044520548,-0.081481481,0.011203478,-0.048831588,-0.029324134,-0.00342162,-0.00394402,-0.068660775
9/8/2015,-0.015676464,-4.17E-05,-0.020508893,0.021008403,0.044176707,0.007968127,0.008,0.038461538,0.029850746,0,0,-0.044520548,-0.03593939,0.011203478,-0.048831588,0.010987623,-0.00342162,-0.00394402
9/9/2015,0.022330775,-0.015676464,-4.17E-05,-0.0472103,0.021008403,0.044176707,0.024193548,0.008,0.038461538,0.042622951,0,0,0.022015763,-0.03593939,0.011203478,0.019537735,0.010987623,-0.00342162
9/10/2015,-0.001301591,0.022330775,-0.015676464,0.024590164,-0.0472103,0.021008403,0.033057851,0.024193548,0.008,-0.010273973,0.042622951,0,0.017319782,0.022015763,-0.03593939,0.001953634,0.019537735,0.010987623
9/11/2015,-0.006834955,-0.001301591,0.022330775,0,0.024590164,-0.0472103,0.159847863,0.033057851,0.024193548,-0.003389831,-0.010273973,0.042622951,0.003865282,0.017319782,0.022015763,-0.101918309,0.001953634,0.019537735
9/12/2015,0.020324018,-0.006834955,-0.001301591,-0.021008403,0,0.024590164,-0.058009437,0.159847863,0.033057851,0.043918919,-0.003389831,-0.010273973,0.060267501,0.003865282,0.017319782,0.02925154,-0.101918309,0.001953634
9/13/2015,0.020065468,0.020324018,-0.006834955,0.037037037,-0.021008403,0,0.099997115,-0.058009437,0.159847863,0.003533569,0.043918919,-0.003389831,0.005602903,0.060267501,0.003865282,-0.04086861,0.02925154,-0.101918309
9/14/2015,-0.000563967,0.020065468,0.020324018,0.012820513,0.037037037,-0.021008403,0.064509409,0.099997115,-0.058009437,-0.007092199,0.003533569,0.043918919,-0.04196472,0.005602903,0.060267501,0.132208158,-0.04086861,0.02925154
9/15/2015,0.001474159,-0.000563967,0.020065468,-0.004329004,0.012820513,0.037037037,-0.078559013,0.064509409,0.099997115,0.007042254,-0.007092199,0.003533569,-0.041655522,-0.04196472,0.005602903,-0.042679633,0.132208158,-0.04086861
9/16/2015,0.005254017,0.001474159,-0.000563967,-0.021551724,-0.004329004,0.012820513,0.039426732,-0.078559013,0.064509409,0.007092199,0.007042254,-0.007092199,-0.015118068,-0.041655522,-0.04196472,0.038082902,-0.042679633,0.132208158
9/17/2015,-0.00314287,0.005254017,0.001474159,0,-0.021551724,-0.004329004,0.036314934,0.039426732,-0.078559013,-0.039285714,0.007092199,0.007042254,0.029789754,-0.015118068,-0.041655522,0.007271748,0.038082902,-0.042679633
9/18/2015,-0.01375049,-0.00314287,0.005254017,-0.037974684,0,-0.021551724,0.023501798,0.036314934,0.039426732,-0.017182131,-0.039285714,0.007092199,-0.011435339,0.029789754,-0.015118068,-0.021296799,0.007271748,0.038082902
9/19/2015,0.006352749,-0.01375049,-0.00314287,0.040650407,-0.037974684,0,-0.033625986,0.023501798,0.036314934,0.030405405,-0.017182131,-0.039285714,0.008036928,-0.011435339,0.029789754,0.006242529,-0.021296799,0.007271748
9/20/2015,0.001209555,0.006352749,-0.01375049,-0.012711864,0.040650407,-0.037974684,-0.063525127,-0.033625986,0.023501798,0.006968641,0.030405405,-0.017182131,0.021044765,0.008036928,-0.011435339,-0.020716386,0.006242529,-0.021296799
9/21/2015,0.017819298,0.001209555,0.006352749,0.016736402,-0.012711864,0.040650407,0.020670364,-0.063525127,-0.033625986,0.01754386,0.006968641,0.030405405,0.011356645,0.021044765,0.008036928,0.051067173,-0.020716386,0.006242529
9/22/2015,-0.015544498,0.017819298,0.001209555,-0.046808511,0.016736402,-0.012711864,0.018770531,0.020670364,-0.063525127,-0.014285714,0.01754386,0.006968641,0.017947683,0.011356645,0.021044765,0.010901063,0.051067173,-0.020716386
9/23/2015,0.001474287,-0.015544498,0.017819298,0.012195122,-0.046808511,0.016736402,0.009303656,0.018770531,0.020670364,-0.01056338,-0.014285714,0.01754386,0.015308512,0.017947683,0.011356645,0.069754464,0.010901063,0.051067173
9/24/2015,-0.018455793,0.001474287,-0.015544498,-0.004115226,0.012195122,-0.046808511,0.089316615,0.009303656,0.018770531,-0.020905923,-0.01056338,-0.014285714,-0.008764415,0.015308512,0.017947683,-0.00629874,0.069754464,0.010901063
9/25/2015,-0.002600947,-0.018455793,0.001474287,-0.004098361,-0.004115226,0.012195122,0.095115596,0.089316615,0.009303656,0.013651877,-0.020905923,-0.01056338,0.036620025,-0.008764415,0.015308512,0.008941878,-0.00629874,0.069754464
9/26/2015,0.003402228,-0.002600947,-0.018455793,0.048979592,-0.004098361,-0.004115226,-0.06756241,0.095115596,0.089316615,0,0.013651877,-0.020905923,0.014196649,0.036620025,-0.008764415,0.022406015,0.008941878,-0.00629874
9/27/2015,0.00674234,0.003402228,-0.002600947,-0.012875536,0.048979592,-0.004098361,0.082860029,-0.06756241,0.095115596,0.006920415,0,0.013651877,0.016614057,0.014196649,0.036620025,-0.005383787,0.022406015,0.008941878
9/28/2015,-0.027410208,0.00674234,0.003402228,-0.008474576,-0.012875536,0.048979592,0.19137838,0.082860029,-0.06756241,-0.069686411,0.006920415,0,-0.025788764,0.016614057,0.014196649,0.037178703,-0.005383787,0.022406015
9/29/2015,0.010245045,-0.027410208,0.00674234,0.016806723,-0.008474576,-0.012875536,-0.134262961,0.19137838,0.082860029,0.03257329,-0.069686411,0.006920415,0.029356478,-0.025788764,0.016614057,0.113459399,0.037178703,-0.005383787
9/30/2015,0.002661709,0.010245045,-0.027410208,0,0.016806723,-0.008474576,-0.11721768,-0.134262961,0.19137838,-0.013468013,0.03257329,-0.069686411,0.082454333,0.029356478,-0.025788764,0.010575372,0.113459399,0.037178703
10/1/2015,-0.006311955,0.002661709,0.010245045,0.021367521,0,0.016806723,0.065564738,-0.11721768,-0.134262961,0.003322259,-0.013468013,0.03257329,-0.012038551,0.082454333,0.029356478,0.013043478,0.010575372,0.113459399
10/2/2015,0.001094506,-0.006311955,0.002661709,0.030567686,0.021367521,0,0.016865759,0.065564738,-0.11721768,0.003333333,0.003322259,-0.013468013,-0.012851622,-0.012038551,0.082454333,-0.077092511,0.013043478,0.010575372
10/3/2015,-0.006068524,0.001094506,-0.006311955,0.022522523,0.030567686,0.021367521,-0.012669215,0.016865759,0.065564738,-0.013377926,0.003333333,0.003322259,-7.56E-05,-0.012851622,-0.012038551,0.059815951,-0.077092511,0.013043478
10/4/2015,0.001968751,-0.006068524,0.001094506,0,0.022522523,0.030567686,0.027346905,-0.012669215,0.016865759,0.00660066,-0.013377926,0.003333333,0.023457778,-7.56E-05,-0.012851622,0.050933478,0.059815951,-0.077092511
10/5/2015,-0.008897843,0.001968751,-0.006068524,-0.078341014,0,0.022522523,0.059451299,0.027346905,-0.012669215,-0.003322259,0.00660066,-0.013377926,-0.039566638,0.023457778,-7.56E-05,0.043544691,0.050933478,0.059815951
10/6/2015,-0.023629254,-0.008897843,0.001968751,-0.021367521,-0.078341014,0,-0.034999197,0.059451299,0.027346905,-0.043046358,-0.003322259,0.00660066,0.011469395,-0.039566638,0.023457778,-0.063897764,0.043544691,0.050933478
10/7/2015,0.012557913,-0.023629254,-0.008897843,-0.0041841,-0.021367521,-0.078341014,0.063409386,-0.034999197,0.059451299,0.028571429,-0.043046358,-0.003322259,0.044222102,0.011469395,-0.039566638,-0.008821321,-0.063897764,0.043544691
10/8/2015,0.002757542,0.012557913,-0.023629254,0.008333333,-0.0041841,-0.021367521,-0.020230133,0.063409386,-0.034999197,0,0.028571429,-0.043046358,0.013515232,0.044222102,0.011469395,0.064,-0.008821321,-0.063897764
10/9/2015,-0.006727198,0.002757542,0.012557913,0.008403361,0.008333333,-0.0041841,-0.046503548,-0.020230133,0.063409386,-0.016339869,0,0.028571429,-0.024381755,0.013515232,0.044222102,0.009540847,0.064,-0.008821321
10/10/2015,-0.004140532,-0.006727198,0.002757542,-0.029661017,0.008403361,0.008333333,0.034998494,-0.046503548,-0.020230133,0,-0.016339869,0,0.024010329,-0.024381755,0.013515232,-0.010836845,0.009540847,0.064
10/11/2015,-0.008614355,-0.004140532,-0.006727198,0.016460905,-0.029661017,0.008403361,-0.011317864,0.034998494,-0.046503548,-0.012861736,0,-0.016339869,0.01821867,0.024010329,-0.024381755,-0.028786976,-0.010836845,0.009540847
10/12/2015,0.007043109,-0.008614355,-0.004140532,0.020920502,0.016460905,-0.029661017,0.014068536,-0.011317864,0.034998494,0.003174603,-0.012861736,0,-0.038329604,0.01821867,0.024010329,-0.015052103,-0.028786976,-0.010836845
10/13/2015,-0.017121194,0.007043109,-0.008614355,-0.004273504,0.020920502,0.016460905,0.029351629,0.014068536,-0.011317864,-0.012738854,0.003174603,-0.012861736,0.018471252,-0.038329604,0.01821867,-0.022243346,-0.015052103,-0.028786976
10/14/2015,-0.009939481,-0.017121194,0.007043109,0.012765957,-0.004273504,0.020920502,0.139366911,0.029351629,0.014068536,0.012578616,-0.012738854,0.003174603,0.009661998,0.018471252,-0.038329604,-0.00762507,-0.022243346,-0.015052103
10/15/2015,-0.009246399,-0.009939481,-0.017121194,0.030172414,0.012765957,-0.004273504,-0.074402258,0.139366911,0.029351629,0.012738854,0.012578616,-0.012738854,-0.017110543,0.009661998,0.018471252,0.003506829,-0.00762507,-0.022243346
10/16/2015,-0.033619063,-0.009246399,-0.009939481,-0.04,0.030172414,0.012765957,0.045175287,-0.074402258,0.139366911,-0.003225806,0.012738854,0.012578616,-0.052885956,-0.017110543,0.009661998,0.000185219,0.003506829,-0.00762507
10/17/2015,-0.029558337,-0.033619063,-0.009246399,-0.038461538,-0.04,0.030172414,-0.019912581,0.045175287,-0.074402258,0.012861736,-0.003225806,0.012738854,-0.03749839,-0.052885956,-0.017110543,0.036124491,0.000185219,0.003506829
10/18/2015,0.033254508,-0.029558337,-0.033619063,0.024691358,-0.038461538,-0.04,0.053810643,-0.019912581,0.045175287,0.016286645,0.012861736,-0.003225806,0.040157679,-0.03749839,-0.052885956,0.043052085,0.036124491,0.000185219
10/19/2015,-0.006879682,0.033254508,-0.029558337,0.012658228,0.024691358,-0.038461538,0.055472501,0.053810643,-0.019912581,-0.009933775,0.016286645,0.012861736,0.016068932,0.040157679,-0.03749839,-0.012853987,0.043052085,0.036124491
10/20/2015,-0.022851503,-0.006879682,0.033254508,-0.02991453,0.012658228,0.024691358,0.110804599,0.055472501,0.053810643,-0.013114754,-0.009933775,0.016286645,0.008843983,0.016068932,0.040157679,0.061867936,-0.012853987,0.043052085
10/21/2015,0.011838492,-0.022851503,-0.006879682,0.053941909,-0.02991453,0.012658228,-0.028746933,0.110804599,0.055472501,0.003236246,-0.013114754,-0.009933775,0.012633681,0.008843983,0.016068932,0.007186641,0.061867936,-0.012853987
10/22/2015,-0.029105795,0.011838492,-0.022851503,-0.057017544,0.053941909,-0.02991453,-0.269092771,-0.028746933,0.110804599,-0.00974026,0.003236246,-0.013114754,-0.021893223,0.012633681,0.008843983,-0.005535448,0.007186641,0.061867936
10/23/2015,-0.009050434,-0.029105795,0.011838492,0.033195021,-0.057017544,0.053941909,0.049400918,-0.269092771,-0.028746933,0,-0.00974026,0.003236246,0.023098136,-0.021893223,0.012633681,0.009739572,-0.005535448,0.007186641
10/24/2015,-0.018625678,-0.009050434,-0.029105795,0.038626609,0.033195021,-0.057017544,-0.04434854,0.049400918,-0.269092771,0.003215434,0,-0.00974026,-0.00478775,0.023098136,-0.021893223,0.003207184,0.009739572,-0.005535448
10/25/2015,-0.007207527,-0.018625678,-0.009050434,0.03125,0.038626609,0.033195021,-0.093062333,-0.04434854,0.049400918,0.009677419,0.003215434,0,-0.02844561,-0.00478775,0.023098136,0.022737023,0.003207184,0.009739572
10/26/2015,-0.00571066,-0.007207527,-0.018625678,-0.032258065,0.03125,0.038626609,-0.187127763,-0.093062333,-0.04434854,-0.009771987,0.009677419,0.003215434,0.046938219,-0.02844561,-0.00478775,-0.026119403,0.022737023,0.003207184
10/27/2015,-0.029758149,-0.00571066,-0.007207527,0.0625,-0.032258065,0.03125,-0.189143696,-0.187127763,-0.093062333,0.003225806,-0.009771987,0.009677419,-0.055711929,0.046938219,-0.02844561,0.005561497,-0.026119403,0.022737023
10/28/2015,-0.036863065,-0.029758149,-0.00571066,-0.019047619,0.0625,-0.032258065,-0.149899786,-0.189143696,-0.187127763,-0.003236246,0.003225806,-0.009771987,-0.095843486,-0.055711929,0.046938219,-0.005592601,0.005561497,-0.026119403
10/29/2015,-0.030332874,-0.036863065,-0.029758149,-0.11682243,-0.019047619,0.0625,-0.21,-0.149899786,-0.189143696,-0.219354839,-0.003236246,0.003225806,0.003845563,-0.095843486,-0.055711929,0.008770053,-0.005592601,0.005561497
10/30/2015,-0.045083795,-0.030332874,-0.036863065,-0.062761506,-0.11682243,-0.019047619,0.140495868,-0.21,-0.149899786,-0.074074074,-0.219354839,-0.003236246,-0.020887804,0.003845563,-0.095843486,-0.044238239,0.008770053,-0.005592601
10/31/2015,0.042193836,-0.045083795,-0.030332874,0.090551181,-0.062761506,-0.11682243,0.118627885,0.140495868,-0.21,0.064039409,-0.074074074,-0.219354839,0.113714338,-0.020887804,0.003845563,0.031411449,-0.044238239,0.008770053
11/1/2015,-0.035840469,0.042193836,-0.045083795,-0.151515152,0.090551181,-0.062761506,-0.156413678,0.118627885,0.140495868,-0.042105263,0.064039409,-0.074074074,-0.046885583,0.113714338,-0.020887804,-0.045658204,0.031411449,-0.044238239
11/2/2015,-0.109885382,-0.035840469,0.042193836,0.018796992,-0.151515152,0.090551181,0.066236792,-0.156413678,0.118627885,-0.050505051,-0.042105263,0.064039409,-0.045763332,-0.046885583,0.113714338,-0.052030198,-0.045658204,0.031411449
11/3/2015,-0.116919073,-0.109885382,-0.035840469,-0.030651341,0.018796992,-0.151515152,-0.020419504,0.066236792,-0.156413678,-0.103365385,-0.050505051,-0.042105263,0.000404167,-0.045763332,-0.046885583,-0.044026377,-0.052030198,-0.045658204
11/4/2015,-0.020177483,-0.116919073,-0.109885382,0.029739777,-0.030651341,0.018796992,0.109851485,-0.020419504,0.066236792,0.078431373,-0.103365385,-0.050505051,-0.142672241,0.000404167,-0.045763332,0.080995727,-0.044026377,-0.052030198
11/5/2015,0.061254738,-0.020177483,-0.116919073,0.030651341,0.029739777,-0.030651341,0.003796229,0.109851485,-0.020419504,0.063829787,0.078431373,-0.103365385,0.144976269,-0.142672241,0.000404167,0.089144936,0.080995727,-0.044026377
11/6/2015,0.030749321,0.061254738,-0.020177483,-0.067193676,0.030651341,0.029739777,-0.03393674,0.003796229,0.109851485,0.103535354,0.063829787,0.078431373,-0.015409336,0.144976269,-0.142672241,-0.012427874,0.089144936,0.080995727
11/7/2015,-0.032071995,0.030749321,0.061254738,-0.003703704,-0.067193676,0.030651341,-0.00209712,-0.03393674,0.003796229,-0.014084507,0.103535354,0.063829787,-0.030608272,-0.015409336,0.144976269,-0.028934678,-0.012427874,0.089144936
11/8/2015,0.033921548,-0.032071995,0.030749321,0.066420664,-0.003703704,-0.067193676,-0.109944891,-0.00209712,-0.03393674,0.05,-0.014084507,0.103535354,-0.099452543,-0.030608272,-0.015409336,0.010012782,-0.028934678,-0.012427874
11/9/2015,-0.018453545,0.033921548,-0.032071995,0,0.066420664,-0.003703704,0.029827184,-0.109944891,-0.00209712,0.005847953,0.05,-0.014084507,0.049990556,-0.099452543,-0.030608272,0.008177319,0.010012782,-0.028934678
11/10/2015,0.114237627,-0.018453545,0.033921548,0.043478261,0,0.066420664,0.064976913,0.029827184,-0.109944891,0.082352941,0.005847953,0.05,0.025005499,0.049990556,-0.099452543,0.044044261,0.008177319,0.010012782
11/11/2015,0.07642064,0.114237627,-0.018453545,0.053719008,0.043478261,0,0.152533103,0.064976913,0.029827184,0.048076923,0.082352941,0.005847953,0.023115105,0.025005499,0.049990556,0.032228779,0.044044261,0.008177319
11/12/2015,-0.087019416,0.07642064,0.114237627,-0.109170306,0.053719008,0.043478261,-0.131192467,0.152533103,0.064976913,-0.104377104,0.048076923,0.082352941,0.015598525,0.023115105,0.025005499,-0.064962477,0.032228779,0.044044261
11/13/2015,0.004140174,-0.087019416,0.07642064,0.003937008,-0.109170306,0.053719008,-0.009361278,-0.131192467,0.152533103,0.015243902,-0.104377104,0.048076923,-0.021079465,0.015598525,0.023115105,0.014093812,-0.064962477,0.032228779
11/14/2015,0.011403118,0.004140174,-0.087019416,0.067193676,0.003937008,-0.109170306,0.016905284,-0.009361278,-0.131192467,0.012383901,0.015243902,-0.104377104,0.061345193,-0.021079465,0.015598525,0.033281215,0.014093812,-0.064962477
11/15/2015,0.038268601,0.011403118,0.004140174,0.021186441,0.067193676,0.003937008,-0.019752209,0.016905284,-0.009361278,0.037617555,0.012383901,0.015243902,-0.01402132,0.061345193,-0.021079465,0.037661738,0.033281215,0.014093812
11/16/2015,-0.033044945,0.038268601,0.011403118,0,0.021186441,0.067193676,-0.024928065,-0.019752209,0.016905284,-0.039087948,0.037617555,0.012383901,-0.011940299,-0.01402132,0.061345193,-0.016566627,0.037661738,0.033281215
11/17/2015,-0.013121693,-0.033044945,0.038268601,0.021645022,0,0.021186441,-0.087235,-0.024928065,-0.019752209,-0.003134796,-0.039087948,0.037617555,0.015953518,-0.011940299,-0.01402132,-0.003778932,-0.016566627,0.037661738
11/18/2015,0.001492136,-0.013121693,-0.033044945,-0.044247788,0.021645022,0,0.016515842,-0.087235,-0.024928065,0.003125,-0.003134796,-0.039087948,0.031310096,0.015953518,-0.011940299,-0.001882353,-0.003778932,-0.016566627
11/19/2015,0.025224902,0.001492136,-0.013121693,0.063559322,-0.044247788,0.021645022,0.038041153,0.016515842,-0.087235,0.018808777,0.003125,-0.003134796,0.020490077,0.031310096,0.015953518,0.008454674,-0.001882353,-0.003778932
11/20/2015,0.012662885,0.025224902,0.001492136,-0.009049774,0.063559322,-0.044247788,0.032036604,0.038041153,0.016515842,0.003194888,0.018808777,0.003125,0.043571829,0.020490077,0.031310096,-0.001184273,0.008454674,-0.001882353
11/21/2015,-0.0152475,0.012662885,0.025224902,0.013452915,-0.009049774,0.063559322,-0.055377762,0.032036604,0.038041153,-0.009615385,0.003194888,0.018808777,-0.006652693,0.043571829,0.020490077,-0.004258339,-0.001184273,0.008454674
11/22/2015,0.007310433,-0.0152475,0.012662885,0.063636364,0.013452915,-0.009049774,0.008320528,-0.055377762,0.032036604,0.003174603,-0.009615385,0.003194888,-0.009997295,-0.006652693,0.043571829,-0.005182568,-0.004258339,-0.001184273
11/23/2015,0.004591114,0.007310433,-0.0152475,-0.038834951,0.063636364,0.013452915,0.02174443,0.008320528,-0.055377762,0.006369427,0.003174603,-0.009615385,0.011901754,-0.009997295,-0.006652693,-0.004921491,-0.005182568,-0.004258339
11/24/2015,0.009286488,0.004591114,0.007310433,0.028037383,-0.038834951,0.063636364,0.049397604,0.02174443,0.008320528,0.003205128,0.006369427,0.003174603,0.002467318,0.011901754,-0.009997295,0.010727612,-0.004921491,-0.005182568
11/25/2015,-0.025496016,0.009286488,0.004591114,-0.033653846,0.028037383,-0.038834951,0.040718025,0.049397604,0.02174443,-0.073954984,0.003205128,0.006369427,0.006315552,0.002467318,0.011901754,-0.017916077,0.010727612,-0.004921491
11/26/2015,-0.074555925,-0.025496016,0.009286488,-0.018604651,-0.033653846,0.028037383,-0.023908645,0.040718025,0.049397604,-0.080838323,-0.073954984,0.003205128,-0.043795978,0.006315552,0.002467318,0.006252895,-0.017916077,0.010727612
11/27/2015,-0.015197913,-0.074555925,-0.025496016,0.01369863,-0.018604651,-0.033653846,0.018358191,-0.023908645,0.040718025,0.008310249,-0.080838323,-0.073954984,0.045457578,-0.043795978,0.006315552,0.003495689,0.006252895,-0.017916077
11/28/2015,0.001843369,-0.015197913,-0.074555925,0.037037037,0.01369863,-0.018604651,-0.055016931,0.018358191,-0.023908645,0.016759777,0.008310249,-0.080838323,-0.014942993,0.045457578,-0.043795978,0.00888681,0.003495689,0.006252895
11/29/2015,-0.038922156,0.001843369,-0.015197913,-0.033653846,0.037037037,0.01369863,0.040503307,-0.055016931,0.018358191,-0.042613636,0.016759777,0.008310249,-0.023229772,-0.014942993,0.045457578,-0.014393582,0.00888681,0.003495689
