date,BTC_RTN,BTC_RTN_LG1,BTC_RTN_LG2,ETH_RTN,ETH_RTN_LG1,ETH_RTN_LG2,XRP_RTN,XRP_RTN_LG1,XRP_RTN_LG2,BCH_RTN,BCH_RTN_LG1,BCH_RTN_LG2,BNP_RTN,BNP_RTN_LG1,BNP_RTN_LG2,LINK_RTN,LINK_RTN_LG1,LINK_RTN_LG2,LTC_RTN,LTC_RTN_LG1,LTC_RTN_LG2,ADA_RTN,ADA_RTN_LG1,ADA_RTN_LG2
10/22/2017,0.003843122,-0.00335192,-0.05306632,0.01578997,0.0125654,0.01324284,0.032409865,-0.002218011,0.02138508,-0.02566804,0.01246035,0.0101871,0.032,-0.008064516,0.03125,-0.047546115,-0.128675058,0.253753333,0.023883162,0.035305818,-0.00987613,0.02486285,0.071629122,-0.133101509
10/23/2017,0.01299844,0.003843122,-0.00335192,0.02876967,0.01578997,0.0125654,0.035503509,0.032409865,-0.002218011,0.04842307,-0.02566804,0.01246035,0.024793388,0.032,-0.008064516,0.060522488,-0.047546115,-0.128675058,0.033268791,0.023883162,0.035305818,0.082044069,0.02486285,0.071629122
10/24/2017,0.06807048,0.01299844,0.003843122,-0.03965839,0.02876967,0.01578997,-0.049337829,0.035503509,0.032409865,-0.03577316,0.04842307,-0.02566804,-0.059322034,0.024793388,0.032,-0.023235146,0.060522488,-0.047546115,-0.018936635,0.033268791,0.023883162,-0.068319321,0.082044069,0.02486285
10/25/2017,-0.04055985,0.06807048,0.01299844,0.001374227,-0.03965839,0.02876967,0.00987205,-0.049337829,0.035503509,-0.01602983,-0.03577316,0.04842307,0,-0.059322034,0.024793388,7.07E-05,-0.023235146,0.060522488,-0.009471051,-0.018936635,0.033268791,-0.012282573,-0.068319321,0.082044069
10/26/2017,-0.02678415,-0.04055985,0.06807048,0.004665731,0.001374227,-0.03965839,0.00477019,0.00987205,-0.049337829,-0.018276,-0.01602983,-0.03577316,0.032,0,-0.059322034,0.107666005,7.07E-05,-0.023235146,0.013276686,-0.009471051,-0.018936635,0.014349548,-0.012282573,-0.068319321
10/27/2017,0.02098793,-0.02678415,-0.04055985,-0.003001432,0.004665731,0.001374227,0.004139902,0.00477019,0.00987205,-0.08684209,-0.018276,-0.01602983,0.033057851,0.032,0,0.010557564,0.107666005,7.07E-05,0.007355579,0.013276686,-0.009471051,0.027642636,0.014349548,-0.012282573
10/28/2017,0.00481068,0.02098793,-0.02678415,0.003765804,-0.003001432,0.004665731,0.004684765,0.004139902,0.00477019,-0.1517534,-0.08684209,-0.018276,0.017094017,0.033057851,0.032,0.080629796,0.010557564,0.107666005,0.011566962,0.007355579,0.013276686,0.01955879,0.027642636,0.014349548
10/29/2017,-0.06966,0.00481068,0.02098793,-0.02966591,0.003765804,-0.003001432,-0.004706815,0.004684765,0.004139902,-0.06748555,-0.1517534,-0.08684209,-0.07826087,0.017094017,0.033057851,0.037064654,0.080629796,0.010557564,-0.044249406,0.011566962,0.007355579,-0.105969226,0.01955879,0.027642636
10/30/2017,0.003789548,-0.06966,0.00481068,-0.00871875,-0.02966591,0.003765804,0.000364919,-0.004706815,0.004684765,0.008165167,-0.06748555,-0.1517534,-0.056451613,-0.07826087,0.017094017,-0.055175084,0.037064654,0.080629796,0.012607249,-0.044249406,0.011566962,0.000838956,-0.105969226,0.01955879
10/31/2017,-0.05511271,0.003789548,-0.06966,0.006076345,-0.00871875,-0.02966591,0.010621032,0.000364919,-0.004706815,0.02048061,0.008165167,-0.06748555,0,-0.056451613,-0.07826087,0.075945084,-0.055175084,0.037064654,0.01134953,0.012607249,-0.044249406,-0.06486373,0.000838956,-0.105969226
11/1/2017,-0.04621083,-0.05511271,0.003789548,0.04639075,0.006076345,-0.00871875,0.032080495,0.010621032,0.000364919,-0.21132,0.02048061,0.008165167,0.038167939,0,-0.056451613,0.187203474,0.075945084,-0.055175084,0.046098655,0.01134953,0.012607249,0.244800736,-0.06486373,0.000838956
11/2/2017,-0.04598429,-0.04621083,-0.05511271,0.01460458,0.04639075,0.006076345,-0.060461355,0.032080495,0.010621032,-0.1041497,-0.21132,0.02048061,-0.031746032,0.038167939,0,-0.062279917,0.187203474,0.075945084,-0.029334336,0.046098655,0.01134953,0.073087967,0.244800736,-0.06486373
11/3/2017,-0.0182609,-0.04598429,-0.04621083,-0.06359809,0.01460458,0.04639075,-0.011036573,-0.060461355,0.032080495,-0.06488205,-0.1041497,-0.21132,-0.123076923,-0.031746032,0.038167939,-0.0261069,-0.062279917,0.187203474,-0.026306175,-0.029334336,0.046098655,-0.062048249,0.073087967,0.244800736
11/4/2017,-0.02388959,-0.0182609,-0.04598429,0.0171404,-0.06359809,0.01460458,0.02105865,-0.011036573,-0.060461355,0.007788005,-0.06488205,-0.1041497,-0.123287671,-0.123076923,-0.031746032,-0.033789683,-0.0261069,-0.062279917,0.020291919,-0.026306175,-0.029334336,0.026780979,-0.062048249,0.073087967
11/5/2017,-0.003720887,-0.02388959,-0.0182609,0.01401135,0.0171404,-0.06359809,0.008319018,0.02105865,-0.011036573,-0.01652027,0.007788005,-0.06488205,0.073170732,-0.123287671,-0.123076923,0.031215689,-0.033789683,-0.0261069,0.005268895,0.020291919,-0.026306175,0.062982472,0.026780979,-0.062048249
